Date,Ticket_Number,EngineerId,Distance_Travelled
06/01/2021,WO-012625781,10351,49.84
06/01/2021,WO-012636409,10351,49.84
06/01/2021,WO-012646176,9803,49.84
06/01/2021,WO-012648262,9803,49.84
06/01/2021,WO-012632030,9803,49.84
06/01/2021,WO-012645476,9803,49.84
06/01/2021,WO-012631532,9784,52.01
06/01/2021,WO-012618164,10351,52.01
06/01/2021,WO-012647151,10351,66.87
06/01/2021,WO-012637336,10332,66.87
06/01/2021,WO-012531099,10332,76.87
06/01/2021,WO-012634610,10332,76.87
06/01/2021,WO-012629646,9784,76.87
06/01/2021,WO-012642669,9806,41.43
06/01/2021,WO-012631147,9806,62.82
06/01/2021,WO-012003826,9806,62.82
06/01/2021,WO-012620424,9784,52.92
06/01/2021,WO-012584338,9799,30
06/01/2021,WO-012610868,9799,30
06/01/2021,WO-012641879,9799,30
06/01/2021,WO-012652562,9799,30
06/01/2021,WO-012636661,10394,82.55
06/01/2021,WO-012648703,10394,82.55
06/01/2021,WO-012644715,9808,66.89
06/01/2021,WO-012647325,9808,66.89
06/01/2021,WO-012636850,9808,66.89
06/01/2021,WO-012633962,10352,66.89
06/01/2021,WO-012650738,10352,83.72
06/01/2021,WO-012619730,9784,70.58
06/01/2021,WO-012625106,10352,70.58
06/01/2021,WO-012648463,9805,78.06
06/01/2021,WO-012642711,9805,78.06
06/01/2021,WO-012574549,9805,78.06
06/01/2021,WO-012649701,10394,79.64
06/01/2021,WO-012624324,9809,48.49
06/01/2021,WO-012629176,9809,48.49
06/01/2021,WO-012583270,9809,48.49
06/01/2021,WO-012647565,9809,48.49
06/01/2021,WO-012627640,9802,48.49
06/01/2021,WO-012478408,9802,48.49
06/01/2021,WO-012648135,9802,42.72
06/01/2021,WO-012650548,9802,42.72
06/01/2021,WO-012621943,9807,42.72
06/01/2021,WO-012584551,9807,42.72
06/01/2021,WO-012519587,9804,66.3
06/01/2021,WO-012641804,9804,65
06/01/2021,WO-012609531,10350,48.16
06/01/2021,WO-012641803,10350,48.16
06/01/2021,WO-012604071,9807,52.29
06/01/2021,WO-012650006,9807,52.29
06/01/2021,WO-012585691,2897,52.29
06/01/2021,WO-012650734,2897,64.26
06/01/2021,WO-012574804,2897,94.5
06/01/2021,WO-012643186,9805,84.3
06/01/2021,WO-012522396,9804,78.08
06/01/2021,WO-012648992,9804,78.08
06/01/2021,WO-012612941,9808,69.42
06/01/2021,WO-012625333,10332,78.33
06/01/2021,WO-012647884,10342,67.6
06/01/2021,WO-012642473,10342,67.6
06/01/2021,WO-012646046,10342,67.6
06/01/2021,WO-012571804,10342,67.6
