Date,Ticket_Number,EngineerId,Distance_Travelled
06/01/2021,WO-012624136,10441,67.6
06/01/2021,WO-012556272,10441,78.33
06/01/2021,WO-012500640,9772,30
06/01/2021,WO-012577235,9772,30
06/01/2021,WO-012573510,9773,30
06/01/2021,WO-012632865,9772,30
06/01/2021,WO-012539300,9772,30
06/01/2021,WO-012624520,9749,30
06/01/2021,WO-012604334,9749,30
06/01/2021,WO-012636414,9749,30
06/01/2021,WO-012624770,9749,30
06/01/2021,WO-012642057,9773,30
06/01/2021,WO-012644876,9776,30
06/01/2021,WO-012633597,9776,30
06/01/2021,WO-012573369,9773,30
06/01/2021,WO-012636405,9776,30
06/01/2021,WO-012627656,9776,30
06/01/2021,WO-012649016,10153,30
06/01/2021,WO-012644499,9773,30
06/01/2021,WO-012633547,10153,30
06/01/2021,WO-012629208,9779,30
06/01/2021,WO-012625054,10153,30
06/01/2021,WO-012648128,9779,30
06/01/2021,WO-012633729,10153,30
06/01/2021,WO-012634362,9816,30
06/01/2021,WO-012641531,9779,30
06/01/2021,WO-012629483,9816,30
06/01/2021,WO-012644429,9816,30
06/01/2021,WO-012642755,9816,30
06/01/2021,WO-012649188,2601,30
06/01/2021,WO-012641634,9779,30
06/01/2021,WO-012549923,2601,30
06/01/2021,WO-012599177,2601,30
06/01/2021,WO-012645277,2601,30
06/01/2021,WO-012635040,10367,30
06/01/2021,WO-012599436,10367,30
06/01/2021,WO-012636270,10367,30
06/01/2021,WO-012617841,10367,30
06/01/2021,WO-012635319,10435,30
06/01/2021,WO-012635405,10435,30
06/01/2021,WO-012629027,10435,30
06/01/2021,WO-012617198,10435,30
06/01/2021,WO-012601291,2813,30
06/01/2021,WO-012624287,2813,72.73
06/01/2021,WO-012635194,2813,72.73
06/01/2021,WO-012647990,9774,140.14
06/01/2021,WO-012634733,9774,140.14
06/01/2021,WO-012608891,9774,140.14
06/01/2021,WO-012647276,2736,140.14
06/01/2021,WO-012635504,2813,51.99
06/01/2021,WO-012606127,9630,42.52
06/01/2021,WO-012623488,6929,42.52
06/01/2021,WO-012612411,9668,30
06/01/2021,WO-012621359,2307,30
06/01/2021,WO-012623849,9631,30
06/01/2021,WO-012631895,2307,30
06/01/2021,WO-012642906,6929,56.54
06/01/2021,WO-012589221,6929,56.54
06/01/2021,WO-012650983,2307,65.14
06/01/2021,WO-012651828,9631,91.03
06/01/2021,WO-012583231,9652,146.17
06/01/2021,WO-012647002,6929,202.92
06/01/2021,WO-012598860,6929,56.54
06/01/2021,WO-012654237,9810,30
06/01/2021,WO-012654231,10394,79.64
06/01/2021,WO-012654858,9810,65
06/01/2021,WO-012656279,10350,52.29
06/01/2021,WO-012644377,9668,30
06/01/2021,WO-012627327,9668,30
06/01/2021,WO-012628364,9668,30
06/01/2021,WO-012635089,2307,30
06/01/2021,WO-012642170,9652,30
06/01/2021,WO-012274019,2307,87
06/01/2021,WO-012630818,2736,300
06/01/2021,WO-012643136,2736,300
06/01/2021,WO-012656455,10350,48.49
06/01/2021,WO-012656964,9806,48.16
06/01/2021,WO-012617579,9810,78.08
06/01/2021,WO-012656883,10360,59.39
06/01/2021,WO-012647192,10441,49.84
06/01/2021,WO-012647749,10441,52.01
06/01/2021,WO-012647485,10352,52.4
06/01/2021,WO-012648232,10342,52.01
06/01/2021,WO-012645910,10342,66.87
06/01/2021,WO-012646480,10441,62.82
06/01/2021,WO-012648338,9804,78.08
06/01/2021,WO-012643582,10367,30
06/01/2021,WO-012660363,9630,40.76
