SNO,PIN_Code,State_Name,Lat,Long
97,521241,ANDHRA PRADESH,16.5864,80.573
98,521163,ANDHRA PRADESH,16.4779,80.8534
99,520001,ANDHRA PRADESH,16.5074,80.6466
100,521456,ANDHRA PRADESH,16.9733,81.5555
101,521402,ANDHRA PRADESH,17.0336,80.5167
102,521170,ANDHRA PRADESH,16.6278,80.7312
103,520002,ANDHRA PRADESH,16.5108,80.6287
104,520007,ANDHRA PRADESH,16.4853,80.6675
105,520010,ANDHRA PRADESH,16.4933,80.6612
106,520004,ANDHRA PRADESH,16.5203,80.6642
107,521151,ANDHRA PRADESH,16.4194,80.7573
108,520013,ANDHRA PRADESH,16.5233,80.6278
109,521153,ANDHRA PRADESH,16.4324,80.7955
110,521104,ANDHRA PRADESH,16.496,80.7589
111,521139,ANDHRA PRADESH,16.4757,80.7417
112,521137,ANDHRA PRADESH,16.4777,80.7076
113,521108,ANDHRA PRADESH,16.5133,80.7066
114,521403,ANDHRA PRADESH,16.9996,80.5619
115,521401,ANDHRA PRADESH,16.5684,80.2033
116,521109,ANDHRA PRADESH,16.6291,80.6202
117,521235,ANDHRA PRADESH,17.0703,80.5977
118,521110,ANDHRA PRADESH,14.7632,80.0296
119,521245,ANDHRA PRADESH,16.3916,80.8194
120,520012,ANDHRA PRADESH,16.4846,80.6068
121,520015,ANDHRA PRADESH,16.5482,80.6492
122,521211,ANDHRA PRADESH,17.3619,82.0551
123,521102,ANDHRA PRADESH,16.7319,80.905
124,521182,ANDHRA PRADESH,16.6573,80.1598
125,521178,ANDHRA PRADESH,16.9481,80.524
126,521101,ANDHRA PRADESH,16.7485,80.7189
127,521225,ANDHRA PRADESH,16.5412,80.5784
128,521175,ANDHRA PRADESH,16.5508,81.151
129,521181,ANDHRA PRADESH,16.7662,80.3711
130,521227,ANDHRA PRADESH,16.678,80.573
131,522329,ANDHRA PRADESH,15.9825,80.634
132,533223,ANDHRA PRADESH,17.4366,82.8914
133,533229,ANDHRA PRADESH,17.096,81.8809
134,516360,ANDHRA PRADESH,14.7502,78.5481
135,516421,ANDHRA PRADESH,14.3691,77.9258
136,516484,ANDHRA PRADESH,14.7253,77.1011
137,516289,ANDHRA PRADESH,14.6201,77.9346
138,516396,ANDHRA PRADESH,14.4985,78.115
139,516218,ANDHRA PRADESH,14.1649,77.5921
140,516339,ANDHRA PRADESH,14.9545,78.7096
141,516216,ANDHRA PRADESH,14.4462,77.8938
142,516454,ANDHRA PRADESH,14.6291,78.128
143,516350,ANDHRA PRADESH,14.8657,79.0449
144,516474,ANDHRA PRADESH,14.6467,77.8029
145,516401,ANDHRA PRADESH,14.5754,78.281
146,516329,ANDHRA PRADESH,14.458,78.4451
147,516293,ANDHRA PRADESH,14.5558,78.718
148,516349,ANDHRA PRADESH,13.8989,77.7687
149,516444,ANDHRA PRADESH,14.82,78.5791
150,516321,ANDHRA PRADESH,14.458,78.4451
151,516390,ANDHRA PRADESH,14.4217,78.2257
152,516391,ANDHRA PRADESH,14.9959,77.9552
153,516464,ANDHRA PRADESH,15.0334,77.3307
154,516310,ANDHRA PRADESH,14.9545,78.7096
155,516433,ANDHRA PRADESH,14.9446,78.3113
156,516431,ANDHRA PRADESH,14.9587,78.41
157,516175,ANDHRA PRADESH,13.978,77.9265
158,516434,ANDHRA PRADESH,14.8158,78.2863
159,516362,ANDHRA PRADESH,16.2233,79.9718
160,516359,ANDHRA PRADESH,15.3392,80.0401
161,516380,ANDHRA PRADESH,14.6872,78.3931
162,516439,ANDHRA PRADESH,15.141,78.5657
163,516172,ANDHRA PRADESH,15.3039,77.4002
164,516173,ANDHRA PRADESH,14.8729,78.2348
165,516411,ANDHRA PRADESH,15.0391,77.9446
166,516432,ANDHRA PRADESH,16.1383,79.4368
167,516309,ANDHRA PRADESH,14.6385,78.5397
168,516361,ANDHRA PRADESH,16.9581,80.5368
169,516355,ANDHRA PRADESH,15.5343,77.5531
170,516311,ANDHRA PRADESH,14.9545,78.7096
171,516312,ANDHRA PRADESH,14.9545,78.7096
172,518217,ANDHRA PRADESH,15.676,77.8241
173,522004,ANDHRA PRADESH,16.2997,80.4573
174,522201,ANDHRA PRADESH,16.2425,80.6398
175,530048,ANDHRA PRADESH,17.8225,83.3639
176,522265,ANDHRA PRADESH,16.0184,80.8296
177,531036,ANDHRA PRADESH,17.7365,82.892
178,530016,ANDHRA PRADESH,18.1021,83.6531
179,530020,ANDHRA PRADESH,17.8224,83.2437
180,530017,ANDHRA PRADESH,17.8817,83.3409
181,530002,ANDHRA PRADESH,17.7106,83.3126
182,531019,ANDHRA PRADESH,17.3144,82.533
183,530052,ANDHRA PRADESH,17.7831,83.2169
184,530051,ANDHRA PRADESH,17.7831,83.2169
185,530049,ANDHRA PRADESH,17.7603,83.1249
186,515413,ANDHRA PRADESH,14.793,78.2378
187,515722,ANDHRA PRADESH,14.5126,77.5005
188,532410,ANDHRA PRADESH,18.4949,83.786
189,535006,ANDHRA PRADESH,18.2309,83.5262
190,518007,ANDHRA PRADESH,15.2675,78.1189
191,518674,ANDHRA PRADESH,15.5005,77.8134
192,516356,ANDHRA PRADESH,15.085,78.8524
193,516002,ANDHRA PRADESH,14.4752,78.8354
194,515202,ANDHRA PRADESH,13.802,77.5488
195,515134,ANDHRA PRADESH,14.1448,77.7956
196,522005,ANDHRA PRADESH,16.2997,80.4573
197,535213,ANDHRA PRADESH,18.0657,83.5214
198,522102,ANDHRA PRADESH,15.9042,80.4674
199,530003,ANDHRA PRADESH,17.7077,83.2676
200,530001,ANDHRA PRADESH,17.6801,83.2016
201,530022,ANDHRA PRADESH,17.8224,83.2437
202,530004,ANDHRA PRADESH,17.7167,83.2833
203,530012,ANDHRA PRADESH,17.8817,83.3409
204,530008,ANDHRA PRADESH,17.7336,83.2717
205,530009,ANDHRA PRADESH,17.7077,83.2676
206,530007,ANDHRA PRADESH,17.7467,83.2621
