Date,Ticket_Number,EngineerId,Distance_Travelled
05-01-21,WO-012537318,9652.0,30.0
05-01-21,WO-012622966,9661.0,30.0
05-01-21,WO-012604890,9661.0,30.0
05-01-21,WO-012620173,10186.0,30.0
05-01-21,WO-012629691,6929.0,65.77
05-01-21,WO-012620091,2307.0,87.0
05-01-21,WO-012623675,6997.0,60.31
05-01-21,WO-012628653,2480.0,56.54
05-01-21,WO-012589221,2480.0,56.54
05-01-21,WO-012625306,9630.0,92.49
05-01-21,WO-012583231,10186.0,146.17
05-01-21,WO-012579786,2736.0,156.26
05-01-21,WO-012598957,10352.0,30.0
05-01-21,WO-012630318,9805.0,49.84
05-01-21,WO-012642906,2480.0,56.54
05-01-21,WO-012633243,9803.0,52.29
05-01-21,WO-012643582,2813.0,30.0
05-01-21,WO-012629401,2813.0,30.0
05-01-21,WO-012632407,9774.0,30.0
05-01-21,WO-012642669,9807.0,41.43
05-01-21,WO-012629323,2897.0,52.4
05-01-21,WO-012642755,9772.0,30.0
05-01-21,WO-012644429,9774.0,30.0
05-01-21,WO-012647749,10352.0,52.01
